row_index,doc_id,question,answer,true_label,predicted_label,verdict,entailment_score,neutral_score,contradiction_score,max_similarity,retrieved_context,is_correct,error_type,verdict_detail
0,dyson_v12.pdf,What is the display reading when the battery is fully charged?,99%,1,1,HALLUCINATION,0.2353,0.0041,0.7606,0.7411,"Battery health Run time countdown Alerts To get the best performance and life from your battery, use Eco or Auto/Med mode. When the battery needs charging, your machine will pulse three times and a low run time icon will appear on the screen. When your battery is empty, a red warning icon will appear on the screen. The alerts you might see are: Filter – the filter isn’t fitted correctly, or needs cleaning. Blockage – your machine has a blockage that needs removing. 4:50 Exit settings menu To exi",True,TP,HALLUCINATION
1,tesla_model_s.pdf,What's the caution regarding applying a screen protector to the touchscreen?,"Do not apply a screen protector on the touchscreen. Doing so can result in unintended inputs to the touchscreen (phantom inputs), delayed response or unresponsiveness to touches, electrostatic discharge which can damage the instrument panel, etc.",1,0,GROUNDED,0.9034,0.0043,0.0923,0.8696,"Cautions for Interior Cleaning CAUTION: Using solvents (including alcohol), alcohol- based gel products (such as hand sanitizer), bleach, citrus, naphtha, or silicone-based products or additives on interior components can cause damage. CAUTION: Statically-charged materials can cause damage to the touchscreen or instrument panel. WARNING: If you notice any damage on an airbag or seat belt, contact Tesla immediately. WARNING: Do not allow any water, cleaners, or fabric to enter a seat belt mechani",False,FN,GROUNDED
2,dyson_v12.pdf,What is the recommended angle for reattaching the end cap to the Laser Slim Fluffy™ cleaner head?,less than 90°,0,0,GROUNDED,0.993,0.002,0.005,0.8238,"cap. The end cap should be attached to the cleaner head at an angle less than 90°, any angle greater than this will not allow the end cap to close. The brush bar an open end and a closed end. Stand upright, with the closed end facing upwards, to dry.",True,TN,GROUNDED
3,dji_mavic_pro.pdf,What app should I download to use with the Mavic Pro?,Be sure to use the DJI GO TM 4 app or other apps compatible with DJI aircraft during flight.,0,0,GROUNDED,0.9953,0.0011,0.0036,0.8264,"website and read the Disclaimer before you fly. Prepare for your first flight by reviewing the Mavic Pro Quick Start Guide and refer to the User Manual for more details. Video Tutorials Please watch the tutorial videos at the link below, which demonstrates how to use Mavic Pro safely: http://www.dji.com/mavic Download the DJI GO 4 App Be sure to use the DJI GO TM 4 app or other apps compatible with DJI aircraft during flight. Scan the QR code on the right to download the latest version. The Andr",True,TN,GROUNDED
4,bosch_oven.pdf,What crucial electrical safety step must be taken before attempting to replace the oven bulb?,"Before replacing the bulb, unplug the appliance from the mains or switch off the circuit breaker in the fuse box.",0,0,GROUNDED,0.9892,0.0018,0.0091,0.8166,"Replacing the bulb in the top of the cooking compartment If the cooking compartment light bulb fails, it must be replaced. Heat-resistant, 40 watt, 230 V halogen bulbs are available from the after-sales service or specialist retailers. When handling the halogen bulb, use a dry cloth. This will increase the service life of the bulb. Only use these bulbs. :Warning – Risk of electric shock! When replacing the cooking compartment bulb, the bulb socket contacts are live. Before replacing the bulb, un",True,TN,GROUNDED
5,lg_home_theater.pdf,What is the procedure to reset the parental control password if it's forgotten?,"1. Press SETUP to display the Setup menu.
2. Input the 6-digit number “210496” and press SELECT/ENTER. The password is cleared.",1,0,GROUNDED,0.9879,0.0024,0.0097,0.8528,"press SELECT/ENTER to verify. 3. Press SETUP to exit the menu. If you forget your password If you forget your password, you can clear it using the following steps: 1. Press SETUP to display the Setup menu. 2. Input the 6-digit number “210499” and press SELECT/ENTER. The password is cleared. Area Code Enter the code of the area whose standards were used to rate the DVD video disc, based on the list on page 25. 1. Select “Area Code” on the LOCK menu then press B. 2. Follow step 2 as shown in ratin",False,FN,GROUNDED
6,electrolux_oven.pdf,What immediate actions should be taken if a fault occurs or the appliance is damaged?,take the fuses out or switch off.,0,0,GROUNDED,0.997,0.0009,0.0021,0.7691,safety instructions electrolux 5 Safety instructions This appliance conforms with the following EU Directives: – 73/23/EEC dated 19.02.1973 Low Voltage Directive – 89/336/EEC dated 03.05.1989 EMC Directive inclusive of Amending Di­ rective 92/31/EEC – 93/68/EEC dated 22.07.1993 CE Marking Directive Electrical safety • This appliance must be connected by a qualified electrician only. • In the event of a fault or damage to the appliance: take the fuses out or switch off. • Repairs to the appliance,True,TN,GROUNDED
7,dji_mavic_pro.pdf,What is the capacity and voltage of the Intelligent Flight Battery?,"a capacity of 3830 mAh, a voltage of 11.4 V",0,0,GROUNDED,0.9892,0.0015,0.0092,0.8396,"Aircraft Mavic Pro User Manual © 2017 DJI All Rights Reserved. The Intelligent Flight Battery must be fully charged before using it for the first time. Intelligent Flight Battery Introduction The DJI Intelligent Flight Battery has a capacity of 3830 mAh, a voltage of 11.4 V, and a smart charge/ discharge functionality. It should only be charged using an appropriate DJI approved charger. Intelligent Flight Battery Charger DJI Intelligent Flight Battery Functions 1. Battery Level Display: The LED ",True,TN,GROUNDED
8,hilti_hammer.pdf,What is the rated power input for the TE 60-ATC/AVR model?,"1,350 W",0,0,GROUNDED,0.9595,0.0021,0.0384,0.8109,"event of deviations from the rated voltage and for country-specific versions. Please refer to the power tool’s rating plate for details of its voltage, frequency, current and input power ratings. TE 60­AVR TE 60-ATC/AVR Product generation Rated power input 1,350 W 1,350 W Rated current input 7.2 A 7.2 A Weight in accordance with EPTA procedure 01/2003 6.8 kg 7.8 kg Single impact energy in accor- dance with EPTA procedure 05 7.8 J 7.8 J Hammer drill bits, Ø 12 mm … 55 mm 12 mm … 55 mm Ø Breach bi",True,TN,GROUNDED
9,lg_home_theater.pdf,What is the maximum input power for the speakers?,160 W,0,0,GROUNDED,0.9819,0.0032,0.0149,0.7874,"Signal-to-noise ratio 75 dB Type 3 Way 3 Speaker Impedance 4 Ω Frequency Response 70 - 20,000 Hz Sound Pressure Level 83 dB/W (1m) Rated Input Power 80 W Max. Input Power 160 W Net Dimensions (W x H x D) 128 x 295 x 240 mm Net Weight 4.1kg ❋ Designs and specifications are subject to change without notice.",True,TN,GROUNDED
