question_id,persona,doc_id,language,question_text,category,gt_answer_snippet,gt_page_number,_self_grounded,parsed_steps,passed_strict_check,ragas_faithfulness,ragas_correctness,judge_score,corrected_steps,procedural_comments,annotator_A_correctness,annotator_A_groundedness,annotator_A_quality,annotator_B_correctness,annotator_B_groundedness,annotator_B_quality,annotator_A_snippet_correctness,annotator_A_parsing_quality,annotator_B_snippet_correctness,annotator_B_parsing_quality
bosch_oven_Q001,Technician,bosch_oven.pdf,en,What is the specified minimum distance that wearers of electronic implants must maintain from the control panel due to permanent magnets?,Specification Lookup,at least 10 cm,5,True,,True,1.0,1.0,5,,,,,,,,,,,,
bosch_oven_Q003,Technician,bosch_oven.pdf,en,What are the electrical specifications for the replacement cooking compartment light bulb?,Specification Lookup,"Heat-resistant, 40 watt, 230 V halogen bulbs",26,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
bosch_oven_Q007,Technician,bosch_oven.pdf,en,What specific cleaning agent should be used for the stainless steel inlay in the door cover?,Tool/Material Identification,stainless steel cleaner.,24,True,,True,1.0,0.9999996559000001,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
bosch_oven_Q011,Novice User,bosch_oven.pdf,en,How do I set the language preference when first using the appliance?,Procedural Step Inquiry,1. Turn the rotary selector to set the required language.\n2. Press the s field to confirm.,12,True,"['Turn the rotary selector to set the required language.', 'Press the s field to confirm.']",False,1.0,0.9999993148,5,,,,,Clear & Usable,,,Clear & Usable,Partially Correct,Correctly Parsed,Partially Correct,Correctly Parsed
bosch_oven_Q017,Technician,bosch_oven.pdf,en,How does the display ring indicate the progression of cooking time during operation?,Location/Definition,"During operation, the display ring turns red at secondlong intervals...As the cooking time counts down, one segment disappears every second.",8,True,,False,1.0,0.9999996715,5,,,,,,,,,,,,
bosch_oven_Q018,Novice User,bosch_oven.pdf,en,What is the function of the ÿ On/Off button?,Location/Definition,Switching the appliance on and off,7,True,,True,1.0,0.9999996452000001,5,,,,,,,,,,,,
bosch_oven_Q019,Technician,bosch_oven.pdf,en,What material coats the self-cleaning surfaces in the cooking compartment?,Location/Definition,"a porous, matte ceramic layer.",20,True,,False,1.0,0.9999997359,5,,,,,,,,,,,,
bosch_oven_Q021,SafetyOfficer,bosch_oven.pdf,en,What is the potential hazard if I store flammable items inside the cooking compartment?,Conditional Logic/Causal Reasoning,Combustible items stored in the cooking compartment may catch fire.,4,True,,True,1.0,0.9999996087,5,,,,,,,,,,,,
bosch_oven_Q023,Novice User,bosch_oven.pdf,en,What could happen to the self-cleaning surfaces if I ignore the appliance's recommendation to run the cleaning function?,Conditional Logic/Causal Reasoning,"If you do not act on this recommendation, the selfcleaning surfaces may become damaged.",21,True,,True,1.0,0.9999996459,5,,,,,,,,,,,,
bosch_oven_Q027,SafetyOfficer,bosch_oven.pdf,en,What crucial electrical safety step must be taken before attempting to replace the oven bulb?,Safety Information Lookup,"Before replacing the bulb, unplug the appliance from the mains or switch off the circuit breaker in the fuse box.",5,True,,True,1.0,0.9999995958000001,5,,,,,,,,,,,,
bosch_oven_Q028,SafetyOfficer,bosch_oven.pdf,en,What action must be avoided if smoke is observed inside the cooking compartment?,Safety Information Lookup,Never open the appliance door if there is smoke inside.,4,True,,True,1.0,0.9999801442,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
bosch_oven_Q031,Novice User,bosch_oven.pdf,en,"What is the manufacturer's recommended cleaning frequency for the fluff filter, if this oven had one?",Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
bosch_oven_Q032,Technician,bosch_oven.pdf,en,Are there any specific error codes related to a malfunctioning cooling fan motor?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
bosch_oven_Q034,Novice User,bosch_oven.pdf,en,How often should the activated charcoal filter for odor reduction be replaced?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
bosch_oven_Q036,Technician,bosch_oven.pdf,en,What is the model number of the oven described in this manual?,Specification Lookup,HBG655B.1B,1,True,,True,1.0,1.0,5,,,,,,,,,,,,
bosch_oven_Q041,Novice User,bosch_oven.pdf,en,What should I use to remove very hot accessories from the oven?,Tool/Material Identification,Always use oven gloves to remove accessories or ovenware from the cooking compartment.,4,True,,True,1.0,0.999999633,5,,,,,,,,,,,,
bosch_oven_Q043,SafetyOfficer,bosch_oven.pdf,en,What cleaning aids or detergents should be avoided to prevent cracking scratched door glass?,Tool/Material Identification,"Do not use a glass scraper, sharp or abrasive cleaning aids or detergents.",5,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
bosch_oven_Q046,Novice User,bosch_oven.pdf,en,How do I set the language when I first use the oven?,Procedural Step Inquiry,1. Turn the rotary selector to set the required language.\n2. Press the s field to confirm.,12,True,"['Turn the rotary selector to set the required language.', 'Press the s field to confirm.']",False,1.0,0.9999993148,5,,,,,Clear & Usable,,,Clear & Usable,Partially Correct,Correctly Parsed,Partially Correct,Correctly Parsed
