question_id,doc_id,category,question,answer,retrieved_context,retrieved_pages,nli_label,verdict,entailment,neutral,contradiction
bosch_oven_Q001,bosch_oven.pdf,Specification Lookup,What is the specified minimum distance that wearers of electronic implants must maintain from the control panel due to permanent magnets?,at least 10 cm,"10-15 cm thick, 1.5 kg Cookware, uncovered . 8-10 80* 210-240 Veal fillet, whole, 800 g Cookware, uncovered . 5-7 80* 120-150 Veal medallions, 4 cm thick Cookware, uncovered . 5-7 80* 30-45 * Preheat","33, 31, 39, 3, 5, 17",entailment,GROUNDED,0.9906,0.0087,0.0007
bosch_oven_Q003,bosch_oven.pdf,Specification Lookup,What are the electrical specifications for the replacement cooking compartment light bulb?,"Heat-resistant, 40 watt, 230 V halogen bulbs","Replacing the bulb in the top of the cooking compartment If the cooking compartment light bulb fails, it must be replaced. Heat-resistant, 40 watt, 230 V halogen bulbs are available from the after-sales service or specialist retailers. When handling the halogen bulb, use a dry cloth. This will increase the service life of the bulb. Only use these bulbs. :Warning – Risk of electric shock! When replacing the cooking compartment bulb, the bulb socket contacts are live. Before replacing the bulb, unplug the appliance from the mains or switch off the circuit breaker in the fuse box. :Warning – Risk of burns!","26, 3, 5",entailment,GROUNDED,0.9773,0.0184,0.0043
bosch_oven_Q007,bosch_oven.pdf,Tool/Material Identification,What specific cleaning agent should be used for the stainless steel inlay in the door cover?,stainless steel cleaner.,"of the cooking compartment that follow the table. Glass cover for the interior light- ing Hot soapy water: Clean with a dish cloth and then dry with a soft cloth. If the cooking compartment is heavily soiled, use oven cleaner. Door seal Do not remove. Hot soapy water: Clean with a dish cloth. Do not scour. Stainless steel door cover Stainless steel cleaner: Observe the manufacturer's instructions. Do not use stainless steel care products. Remove the door cover for cleaning. Rails Hot soapy water: Soak and clean with a dish cloth or brush. Pull-out system Hot soapy water: Clean with a dish cloth or a brush.","19, 3, 20, 21, 24",entailment,GROUNDED,0.9921,0.007,0.0009
bosch_oven_Q011,bosch_oven.pdf,Procedural Step Inquiry,How do I set the language preference when first using the appliance?,1. Turn the rotary selector to set the required language.\n2. Press the s field to confirm.,"these settings at any time in the basic settings. ~ ""Basic settings"" on page 18 Selecting the language The language is the first setting displayed. ""German"" is the preset language. 1. Turn the rotary selector to set the required language. 2. Press the s field to confirm. The next setting appears. Setting the time The time starts at ""12:00"". 1. Set the time using the rotary selector. 2. Press the sfield to confirm. A note appears on the display confirming that the initial use has been completed. The current time is displayed. Cleaning the cooking compartment and accessories Before using the appliance to prepare food for the first time, you must clean the cooking compartment and accessories.","18, 12, 14",entailment,GROUNDED,0.9528,0.0451,0.0022
bosch_oven_Q017,bosch_oven.pdf,Location/Definition,How does the display ring indicate the progression of cooking time during operation?,"During operation, the display ring turns red at secondlong intervals...As the cooking time counts down, one segment disappears every second.","shows you where you are in the selection list. Depending on the settings area and length of the selection list, the display ring may be continuous or divided into segments. During operation, the display ring turns red at second- long intervals. After every full minute, the segments turn red again from the beginning. As the cooking time counts down, one segment disappears every second. Temperature display After the operation has started, the current cooking compartment temperature is displayed graphically on the display. Note: Due to thermal inertia, the temperature displayed may be slightly different to the actual temperature inside the oven.","8, 17, 16, 15, 27",entailment,GROUNDED,0.8944,0.0775,0.0281
bosch_oven_Q018,bosch_oven.pdf,Location/Definition,What is the function of the ÿ On/Off button?,Switching the appliance on and off,"a pressure point. Press these buttons to activate them. For appliances that do not have a stainless steel front, these two button touch fields do not have a pressure point. 0 Touch fields There are sensors under the touch fields. Simply touch the respective symbol to select the function. 8 Rotary selector The rotary selector is fitted so that you can turn it indefinitely to the left or right. Press it lightly and move it in the direction required using your finger. @ Display You can see the current adjustment values, options or notes in the display. Symbol Meaning Buttons ÿ on/off Switching the appliance on and off l Start/Stop Starting, pausing or cancelling (hold down for approx.","13, 27, 17, 19, 7, 25",entailment,GROUNDED,0.9885,0.0096,0.0019
bosch_oven_Q019,bosch_oven.pdf,Location/Definition,What material coats the self-cleaning surfaces in the cooking compartment?,"a porous, matte ceramic layer.","Cleaning function en .Cleaning function Cleaning function The self-cleaning surfaces in the cooking compartment are cleaned with the “EcoClean Direct” cleaning function. The self-cleaning surfaces (back panel, ceiling panel and side panels) are coated with a porous, matt ceramic material. This coating absorbs and breaks down splashes from baking, roasting and grilling while the oven is in operation. If the surfaces no longer clean themselves adequately and dark patches appear, the surfaces can be cleaned by the cleaning function. Note: The appliance records the number of times it is used.The appliance indicates when it has reached a point in time after which cleaning is recommended.","3, 38, 21, 20",entailment,GROUNDED,0.9964,0.0033,0.0003
bosch_oven_Q021,bosch_oven.pdf,Conditional Logic/Causal Reasoning,What is the potential hazard if I store flammable items inside the cooking compartment?,Combustible items stored in the cooking compartment may catch fire.,– Risk of burns! ■ The appliance becomes very hot. Never touch the interior surfaces of the cooking compartment or the heating elements. Always allow the appliance to cool down. Keep children at a safe distance. Risk of serious burns! ■ Accessories and ovenware become very hot. Always use oven gloves to remove accessories or ovenware from the cooking compartment. Risk of burns! ■ Alcoholic vapours may catch fire in the hot cooking compartment. Never prepare food containing large quantities of drinks with a high alcohol content. Only use small quantities of drinks with a high alcohol content. Open the appliance door with care.,"4, 6",entailment,GROUNDED,0.9959,0.004,0.0001
bosch_oven_Q023,bosch_oven.pdf,Conditional Logic/Causal Reasoning,What could happen to the self-cleaning surfaces if I ignore the appliance's recommendation to run the cleaning function?,"If you do not act on this recommendation, the selfcleaning surfaces may become damaged.","self-cleaning surfaces no longer clean themselves sufficiently and dark stains appear, they can be cleaned using the cleaning function. To do this, refer to the information in the relevant section. ~ ""Cleaning function"" on page 21 Caution! Do not use oven cleaner on self-cleaning surfaces. This will damage the surfaces. If oven cleaner does get onto these surfaces, dab it off immediately using water and a sponge cloth. Do not rub the surface and do not use abrasive cleaning aids. Keeping the appliance clean Always keep the appliance clean and remove dirt immediately so that stubborn deposits of dirt do not build up.","21, 20, 5, 6, 19",entailment,GROUNDED,0.9965,0.003,0.0005
bosch_oven_Q027,bosch_oven.pdf,Safety Information Lookup,What crucial electrical safety step must be taken before attempting to replace the oven bulb?,"Before replacing the bulb, unplug the appliance from the mains or switch off the circuit breaker in the fuse box.","Replacing the bulb in the top of the cooking compartment If the cooking compartment light bulb fails, it must be replaced. Heat-resistant, 40 watt, 230 V halogen bulbs are available from the after-sales service or specialist retailers. When handling the halogen bulb, use a dry cloth. This will increase the service life of the bulb. Only use these bulbs. :Warning – Risk of electric shock! When replacing the cooking compartment bulb, the bulb socket contacts are live. Before replacing the bulb, unplug the appliance from the mains or switch off the circuit breaker in the fuse box. :Warning – Risk of burns!","26, 5",entailment,GROUNDED,0.9879,0.0097,0.0024
